propertyid,address,city,state,zipcode,price,bedrooms,bathrooms,squarefeet,geometry
38526861,1680 NE 191ST ST APT 306,Miami,FL,33179,35000.0,1.0,1.5,1036.0,POINT(-80.168936 25.949072)
38526872,7262 SW 163RD CT,Miami,FL,33193,650000.0,4.0,4.0,4020.0,POINT(-80.457561 25.697748)
38526869,7711 SW 17TH ST,Miami,FL,33155,220000.0,3.0,2.0,1752.0,POINT(-80.32092 25.754799)
38526881,401 NE 109TH ST,Miami,FL,33161,315000.0,3.0,2.0,1270.0,POINT(-80.189687 25.875782)
38526886,900 BISCAYNE BLVD APT 5706,Miami,FL,33132,772100.0,3.0,3.5,2145.0,POINT(-80.190087 25.783418)
38526882,425 NE 109TH ST,Miami,FL,33161,227500.0,2.0,1.0,1369.0,POINT(-80.189301 25.875792)
38526889,2974 NW 30TH ST,Miami,FL,33142,390000.0,2.0,2.5,1500.0,POINT(-80.243615 25.803199)
38526907,335 S BISCAYNE BLVD PH LPH03,Miami,FL,33131,303000.0,1.0,1.0,868.0,POINT(-80.185408 25.771612)
38526916,3082 SW 153RD PATH,Miami,FL,33185,230000.0,2.0,2.0,1150.0,POINT(-80.444016 25.738325)
38526923,169 SW 7TH ST,Miami,FL,33130,142900.0,3.253236331756704,2.4041736648413257,101.0,POINT(-80.196227 25.7679)
38526928,10229 NW 9TH STREET CIR # 112-2,Miami,FL,33172,150000.0,2.0,2.0,1000.0,POINT(-80.362701 25.778198)
38526927,3900 BISCAYNE BLVD # S-400,Miami,FL,33137,545000.0,1.0,1.0,855.0,POINT(-80.189633 25.813714)
38526932,8021 SW 94TH CT,Miami,FL,33173,578501.0567366581,3.0,2.0,4102.0,POINT(-80.34662 25.694056)
38526936,8111 SW 94TH CT,Miami,FL,33173,118000.0,3.0,2.0,1871.0,POINT(-80.347076 25.693506)
38526935,15804 SW 112TH TER,Miami,FL,33196,578501.0567366581,4.0,3.0,2388.0,POINT(-80.451487 25.663223)
38526941,775 NW 77TH ST,Miami,FL,33150,315000.0,4.0,2.0,1800.0,POINT(-80.210625 25.845011)
38526952,11960 SW 144TH ST,Miami,FL,33186,8500000.0,3.253236331756704,2.0,20001.0,POINT(-80.388138 25.633946)
38526949,741 NW 77TH TER,Miami,FL,33150,578501.0567366581,2.0,1.5,1088.0,POINT(-80.209902 25.845723)
38526948,720 NW 77TH TER,Miami,FL,33150,22000.0,2.0,1.0,1204.0,POINT(-80.209738 25.845322)
38526951,2051 NW SOUTH RIVER DR,Miami,FL,33125,116900.0,3.0,2.0,1083.0,POINT(-80.229149 25.785912)
